"Device";"#ospf";"#bgp";"#mac";"#arp"
"rlyo-fed-sav-1";;;"118";"4"
"scbv-op-1";;;"52";"6"
"scbv-op-2";;;"52";"6"
"sfed-sup-d";;;"28";"2"
"ffed-bk-g";;;"14";"6"
"rlyo-fed-sav-2";;;"118";"4"
"cvpn-vnx-01";;;;
"scbv-savcd0-2vmw";;;"54";"6"
"s33vil-bur-lts1-1";;;"107";"4"
"smdn2-3b-1";;;"106";"6"
"smdn2-3b-2";;;"106";"6"
"ralpes-core";"1";;"118";"157"
"slbm-prod-z85-1";;;"54";"26"
"scbv-savhd0-1";;;"52";"5"
"scbv-cg0-1";;;"52";"6"
"sabv-spoke-h3-mg-1";;;"21";"4"
"sbea-dsp";;;"13";"2"
"flyo-sav-g";;;"8";"6"
"smdn2-4a-e5-1";;;"210";"4"
"flyo-spoke-2";;;;
"smdn2-4a-e5-2";;;"210";"4"
"smdn2-4a-e5-3";;;"210";"4"
"smdn2-4a-e5-4";;;"210";"4"
"flyo-fed-preprod";;;"8";"204"
"flyo-fed-fe1";;;"10";"35"
"flyo-fed-fe2";;;"10";"35"
"ralpes-sav-3";"1";;"138";"341"
"marse1-cr-sw25-1";;;"54";"4"
"s33vil-bur-lts1-2";;;"107";"4"
"ralpes-sav-4";"1";;"138";"341"
"marse1-cr-sw25-2";;;"54";"4"
"slyo-fed-prep-fe-me-5";;;"57";"2"
"rabv-spoke-1";;;"5";"74"
"ralpes-sav-1";"1";;"138";"341"
"rabv-spoke-2";;;"5";"71"
"ralpes-sav-2";"1";;"138";"341"
"fabv-spoke-mg";;;"6";"156"
"flyo-sav-d";;;"8";"6"
"smar1-bur";;;"26";"2"
"fcbv-spoke-1";;;"1";"10"
"fcbv-spoke-2";;;;
"sfed-sup-mg";;;"28";"2"
"a8rxcaa004lc7301";;"1";"4";"6"
"flyo-spoke-1";;;"1";"5"
"rvnx-spoke-2";;"1";"7";"74"
"slyo-prep-mg-fe-1";;;"22";"2"
"rvnx-spoke-1";;"1";"7";"85"
"sbron-inf-1";;;"106";"7"
"slyo-prep-mg-fe-2";;;"22";"2"
"slyo-c4-prep-nfs-fe-1";;;"22";"2"
"smar-cr111-1-3";;;"213";"3"
"smar-cr111-1-4";;;"213";"3"
"smar-cr111-1-1";;;"213";"3"
"smar-cr111-1-2";;;"213";"3"
"fboul-spoke-be";;;"3";"13"
"spar-spoke-mg";;;"108";"9"
"nr0c0021";"1";;"30";"45"
"slyo-9vod-mg-be-1";;;"22";"2"
"salpes-prod-bg4-1";;;"28";"21"
"nr0c0020";"1";;"29";"43"
"admin-siris";;;"52";"2"
"rlyo-spoke-1";;;"5";"143"
"rlyo-fed-sav-3-2";;;"110";"4"
"rlyo-spoke-2";;;"5";"144"
"rlyo-fed-sav-3-1";;;"110";"4"
"scbv-savfg0-1";;;"52";"5"
"rcbv-vtechd0";;;"107";"840"
"sqo-8-5";;;"262";"8"
"salpes-prod-gd";;;"55";"5"
"sqo-8-2";;;"262";"8"
"sqo-8-1";;;"262";"8"
"sqo-8-4";;;"262";"8"
"sqw-wi-srv";;;"28";"5"
"ssbg-pfd1-i1";;;"54";"3"
"sqo-8-3";;;"262";"8"
"salpes-prod-gg";;;"55";"5"
"slbm-prod-z80-1";;;"54";"19"
"rlyo-fed-hub-2";;;"8";"12"
"rlyo-fed-hub-1";;;"8";"12"
"rlyo-fed-be-1";;;"62";"48"
"rlyo-fed-be-2";;;"63";"31"
"salpes-prod-hd";;;"54";"5"
"rcbv-constructeur";;;"1";"4"
"salpes-prod-hg";;;"54";"5"
"slyo-prep-ag2-nfs-be-1";;;"21";"2"
"slbm-sav-y85-1";;;"55";"32"
"sqo-0-1";;;"262";"5"
"sqo-0-2";;;"262";"5"
"sqo-0-3";;;"262";"5"
"sqo-0-4";;;"262";"5"
"sqo-0-5";;;"262";"5"
"fsbg-spoke-mg";;;"3";"51"
"slyo-prep-ag1-nfs-1";;;"21";"2"
"sabv-spoke-god-rsa";;;"26";"3"
"rbdx-lac-d-3";"1";;"171";"388"
"rbdx-lac-d-2";"1";;"171";"388"
"rbdx-lac-d-1";"1";;"171";"388"
"noc-console2";;;;
"noc-console3";;;;
"noc-console1";;;;
"scbv-sav-omc-2";;;"106";"11"
"fwqo-pixlab";;;"6";"16"
"noc-console6";;;;
"noc-console7";;;;
"noc-console4";;;;
"noc-console5";;;;
"slyo-admin-me-1";;;"22";"2"
"smg-emc";;;"14";"2"
"noc-console8";;;;
"scbv-sav-omc-1";;;"106";"11"
"noc-console9";;;;
"ch2-00s-6cc";;;"36";"145"
"rlyo-savd-1";"1";;"76";"132"
"scbv-bd0-1";;;"52";"8"
"rlyo-savd-2";"1";;"76";"132"
"scbv-bd0-2";;;"52";"8"
"lbalpes-prodad";;;"20";"92"
"lbalpes-prodag";;;"20";"68"
"salpes-prod-f-2";;;"106";"6"
"sabv-spoke-nb5-sw1-me-1";;;"22";"2"
"salpes-prod-f-1";;;"106";"6"
"noc-console15";;;;
"noc-console11";;;;
"noc-console12";;;;
"sabv-spoke-h3-me-1";;;"22";"2"
"noc-console13";;;;
"noc-console14";;;;
"flyo-fed-mg-1";;;"1";"3"
"slyo-h1-nfs-1";;;"21";"2"
"noc-console10";;;;
"fwcbv-pixfil1-1";;;"9";"14"
"sqw-wi-wlc";;;"16";"5"
"fwcbv-pixfil1-2";;;"9";"10"
"flyo-fed-mg-2";;;;
"slyo-spoke-k3-me-1";;;"27";"3"
"rcbv-cetelem";;;"1";"8"
"slyo-spoke-k3-me-2";;;"27";"3"
"smdn2-1b-e2-2";;;"210";"4"
"smdn2-4a-e3-1";;;"210";"4"
"smdn2-1b-e2-1";;;"210";"4"
"smdn2-4a-e3-4";;;"210";"4"
